qualified_id,cohort,artifact_sha256,parameter_id,direction,ordinal,tensor_index,tensor_name,dtype,shape,shape_signature,quantization_status,scheme,granularity,scales,zero_points,quantized_dimension,contract_sha256
mcunet-curated-ptq/mcunet-vww2,mcunet-curated-ptq,5180674a058b7c7b627a4142b4c6b194382e6df05ad8c8eb40a86aab8c1c7986,output:0:T1,output,0,1,Reshape,INT8,"[1,2]",[],complete,affine,per_tensor,[0.28061529994010925],[0],0,f38c1940990f9116682d6587f881fe9506230a18131cf352ac9218e25a6707e1
mcunet-curated-ptq/proxyless-w0-3,mcunet-curated-ptq,8cfa09445a43c8eb51b94685b72a4aa1c0318865af03636f3f81bcf7042dacc7,input:0:T324,input,0,324,input,INT8,"[1,176,176,3]",[],complete,affine,per_tensor,[0.007843137718737125],[-1],0,fd85aad37bb50d79a5295c5e154dd392f5f3c6f5cceea601a0177708c1c5ca0f
mcunet-curated-ptq/proxyless-w0-3,mcunet-curated-ptq,8cfa09445a43c8eb51b94685b72a4aa1c0318865af03636f3f81bcf7042dacc7,output:0:T1,output,0,1,Reshape,INT8,"[1,1000]",[],complete,affine,per_tensor,[0.16694992780685425],[-36],0,46eb981b569420fda989f05245e35685dad1c8e43f7f18bba31c1c63390a8060
mediapipe-public/audio-classifier-yamnet-f32,mediapipe-public,4d8b4a53282dc83ef04e3e7dbc4fbc98082e34e44ed798e16c3a0cdd4c584faf,input:0:T0,input,0,0,waveform_binary,FLOAT32,[15600],[],not_quantized,none,not_quantized,[],[],0,225a7edf66752cb76b869e0e507846dd75683cca0a1055994d2b515b55a55b54
mediapipe-public/audio-classifier-yamnet-f32,mediapipe-public,4d8b4a53282dc83ef04e3e7dbc4fbc98082e34e44ed798e16c3a0cdd4c584faf,output:0:T120,output,0,120,tower0/network/layer32/final_output,FLOAT32,"[1,521]",[],not_quantized,none,not_quantized,[],[],0,225a7edf66752cb76b869e0e507846dd75683cca0a1055994d2b515b55a55b54
mediapipe-public/audio-embedder-yamnet-f32,mediapipe-public,5e357e61672b6ef7ef27b1804ad01daaa759586f9d63f23125303ca415883bec,input:0:T0,input,0,0,input_1,FLOAT32,"[1,15600]","[-1,15600]",not_quantized,none,not_quantized,[],[],0,225a7edf66752cb76b869e0e507846dd75683cca0a1055994d2b515b55a55b54
mediapipe-public/audio-embedder-yamnet-f32,mediapipe-public,5e357e61672b6ef7ef27b1804ad01daaa759586f9d63f23125303ca415883bec,output:0:T110,output,0,110,Identity,FLOAT32,"[1,1024]",[],not_quantized,none,not_quantized,[],[],0,225a7edf66752cb76b869e0e507846dd75683cca0a1055994d2b515b55a55b54
mediapipe-public/average-word-classifier-f32,mediapipe-public,13bf6f7f35964f1e85d6cc762ee7b1952009b532b233baa5bdb4bf7441097f34,input:0:T0,input,0,0,serving_default_input_1:0,INT32,"[1,256]","[-1,256]",not_quantized,none,not_quantized,[],[],0,225a7edf66752cb76b869e0e507846dd75683cca0a1055994d2b515b55a55b54
mediapipe-public/average-word-classifier-f32,mediapipe-public,13bf6f7f35964f1e85d6cc762ee7b1952009b532b233baa5bdb4bf7441097f34,output:0:T11,output,0,11,StatefulPartitionedCall:0,FLOAT32,"[1,2]","[-1,2]",not_quantized,none,not_quantized,[],[],0,225a7edf66752cb76b869e0e507846dd75683cca0a1055994d2b515b55a55b54
mediapipe-public/deeplab-v3-f32,mediapipe-public,ff36e24d40547fe9e645e2f4e8745d1876d6e38b332d39a82f0bf0f5d1d561b3,input:0:T183,input,0,183,sub_7,FLOAT32,"[1,257,257,3]",[],not_quantized,none,not_quantized,[],[],0,225a7edf66752cb76b869e0e507846dd75683cca0a1055994d2b515b55a55b54
